gene_1 	 gene_3 	 0.999000
gene_2 	 gene_4 	 0.992000
gene_3 	 gene_1 	 0.956000
gene_2 	 gene_5 	 0.321000
gene_1 	 gene_5 	 0.053000
gene_4 	 gene_1 	 0.033000
gene_4 	 gene_5 	 0.022000
gene_1 	 gene_4 	 0.011000
gene_3 	 gene_5 	 0.007000
gene_5 	 gene_4 	 0.007000
gene_2 	 gene_1 	 0.007000
gene_3 	 gene_4 	 0.005000
gene_5 	 gene_1 	 0.001000
gene_5 	 gene_3 	 0.001000
gene_4 	 gene_3 	 0.001000
gene_2 	 gene_3 	 0.001000
gene_4 	 gene_2 	 0.000000
gene_5 	 gene_2 	 0.000000
gene_1 	 gene_2 	 0.000000
gene_3 	 gene_2 	 0.000000
gene_1 	 gene_1 	 0.000000
gene_2 	 gene_2 	 0.000000
gene_3 	 gene_3 	 0.000000
gene_4 	 gene_4 	 0.000000
gene_5 	 gene_5 	 0.000000
